post_id,platform,content_type,post_date,impressions,reach,likes,comments,shares,saves
POST_0325,LinkedIn,Video,2025-03-23 00:00:00,5432,23219,2373,326,157,413
POST_0326,LinkedIn,Video,2025-03-23 06:00:00,30721,20778,723,162,215,341
POST_0327,Twitter,Static Image,2025-03-23 12:00:00,14568,38409,706,498,157,219
POST_0328,Twitter,Static Image,2025-03-23 18:00:00,15178,16158,304,180,133,162
POST_0329,YouTube,Video,2025-03-24 00:00:00,23195,34977,735,207,66,219
POST_0330,YouTube,Text,2025-03-24 06:00:00,1302,30178,782,13,335,269
POST_0331,Instagram,Static Image,2025-03-24 12:00:00,18022,38134,1270,491,6,399
POST_0332,Instagram,Video,2025-03-24 18:00:00,1055,12182,967,277,13,181
POST_0333,YouTube,Video,2025-03-25 00:00:00,46781,15396,2448,182,72,204
POST_0334,Twitter,Text,2025-03-25 06:00:00,9717,34372,2527,243,398,581
POST_0335,LinkedIn,Carousel,2025-03-25 12:00:00,29699,14021,1050,217,162,555
POST_0336,YouTube,Static Image,2025-03-25 18:00:00,9150,2079,48,252,65,227
POST_0337,Instagram,Text,2025-03-26 00:00:00,3125,7883,926,300,346,595
POST_0338,Twitter,Video,2025-03-26 06:00:00,45247,44661,2946,127,129,249
POST_0339,YouTube,Video,2025-03-26 12:00:00,49513,18571,2146,483,205,440
POST_0340,YouTube,Text,2025-03-26 18:00:00,17748,30775,2526,218,275,532
POST_0341,Twitter,Static Image,2025-03-27 00:00:00,40577,19863,589,307,255,195
POST_0342,YouTube,Carousel,2025-03-27 06:00:00,5621,2906,2026,286,265,518
POST_0343,Twitter,Carousel,2025-03-27 12:00:00,16034,25357,1473,186,24,69
POST_0344,LinkedIn,Video,2025-03-27 18:00:00,47391,21407,757,40,280,398
POST_0345,Twitter,Static Image,2025-03-28 00:00:00,6126,38399,535,224,252,202
POST_0346,Twitter,Carousel,2025-03-28 06:00:00,6122,29329,2020,185,309,147
POST_0347,Twitter,Static Image,2025-03-28 12:00:00,19030,36754,2464,496,288,471
POST_0348,YouTube,Static Image,2025-03-28 18:00:00,18302,28656,58,428,163,198
POST_0349,YouTube,Video,2025-03-29 00:00:00,20181,3373,906,179,94,425
POST_0350,Twitter,Carousel,2025-03-29 06:00:00,39638,13608,2864,408,269,491
POST_0351,YouTube,Text,2025-03-29 12:00:00,2531,36167,2224,429,320,141
POST_0352,Instagram,Video,2025-03-29 18:00:00,41940,37601,1118,295,109,312
POST_0353,Instagram,Carousel,2025-03-30 00:00:00,41441,41996,2951,341,335,164
POST_0354,YouTube,Carousel,2025-03-30 06:00:00,24333,34872,1843,152,309,313
POST_0355,YouTube,Carousel,2025-03-30 12:00:00,40650,24552,1730,385,237,20
POST_0356,Twitter,Carousel,2025-03-30 18:00:00,35674,18485,993,127,380,81
POST_0357,LinkedIn,Carousel,2025-03-31 00:00:00,36854,42201,1582,302,386,580
POST_0358,YouTube,Static Image,2025-03-31 06:00:00,47271,12172,2916,309,389,130
POST_0359,Instagram,Video,2025-03-31 12:00:00,9152,9796,2815,337,24,598
POST_0360,Twitter,Static Image,2025-03-31 18:00:00,39518,17258,1008,435,140,304
POST_0361,YouTube,Text,2025-04-01 00:00:00,46540,32689,40,235,116,370
POST_0362,Instagram,Carousel,2025-04-01 06:00:00,11267,27465,2370,381,391,383
POST_0363,Instagram,Video,2025-04-01 12:00:00,26289,39043,888,376,24,444
POST_0364,LinkedIn,Carousel,2025-04-01 18:00:00,2062,32453,103,9,78,424
POST_0365,Twitter,Video,2025-04-02 00:00:00,30926,27457,1702,499,67,160
POST_0366,Twitter,Static Image,2025-04-02 06:00:00,7229,40752,1996,342,172,177
POST_0367,LinkedIn,Video,2025-04-02 12:00:00,48915,22980,1430,130,11,489
POST_0368,LinkedIn,Text,2025-04-02 18:00:00,5632,32696,1550,265,287,326
POST_0369,Twitter,Text,2025-04-03 00:00:00,40056,13675,589,158,127,597
POST_0370,Twitter,Video,2025-04-03 06:00:00,4596,2422,953,353,95,288
POST_0371,YouTube,Video,2025-04-03 12:00:00,45243,41609,2000,359,91,592
POST_0372,YouTube,Video,2025-04-03 18:00:00,7168,17525,1875,6,140,572
POST_0373,LinkedIn,Video,2025-04-04 00:00:00,43563,41560,812,496,30,572
POST_0374,YouTube,Text,2025-04-04 06:00:00,8561,16446,811,87,333,353
POST_0375,Instagram,Carousel,2025-04-04 12:00:00,9258,17829,1829,176,19,27
POST_0376,YouTube,Video,2025-04-04 18:00:00,17616,30202,1314,291,145,42
POST_0377,YouTube,Video,2025-04-05 00:00:00,27734,5063,2559,194,315,422
POST_0378,Instagram,Text,2025-04-05 06:00:00,7371,31787,2275,312,389,597
POST_0379,LinkedIn,Text,2025-04-05 12:00:00,27069,9446,1627,120,159,176
POST_0380,Instagram,Static Image,2025-04-05 18:00:00,15369,28329,1103,219,348,528
POST_0381,YouTube,Video,2025-04-06 00:00:00,13910,12464,2497,428,42,493
POST_0382,LinkedIn,Static Image,2025-04-06 06:00:00,8943,36537,1004,459,253,197
POST_0383,YouTube,Text,2025-04-06 12:00:00,13199,36596,1700,415,129,576
POST_0384,Instagram,Text,2025-04-06 18:00:00,16728,24827,539,115,59,516
POST_0385,Instagram,Carousel,2025-04-07 00:00:00,24275,30173,610,467,150,513
POST_0386,YouTube,Video,2025-04-07 06:00:00,7738,37197,1070,146,286,21
POST_0387,Twitter,Static Image,2025-04-07 12:00:00,16913,21409,1729,27,4,111
POST_0388,Twitter,Text,2025-04-07 18:00:00,36240,36635,2055,137,265,56
POST_0389,Instagram,Text,2025-04-08 00:00:00,20123,39509,2266,304,344,65
POST_0390,Instagram,Static Image,2025-04-08 06:00:00,49447,20050,2454,233,129,97
POST_0391,Twitter,Carousel,2025-04-08 12:00:00,35529,21972,368,370,381,143
POST_0392,Twitter,Text,2025-04-08 18:00:00,11167,12355,979,77,266,434
POST_0393,YouTube,Video,2025-04-09 00:00:00,11554,22674,1983,476,177,85
POST_0394,YouTube,Text,2025-04-09 06:00:00,18260,13881,712,329,252,587
POST_0395,Twitter,Video,2025-04-09 12:00:00,48045,24863,1579,346,55,343
POST_0396,YouTube,Static Image,2025-04-09 18:00:00,4812,7619,397,303,82,293
POST_0397,YouTube,Video,2025-04-10 00:00:00,29024,26512,2966,453,392,570
POST_0398,LinkedIn,Static Image,2025-04-10 06:00:00,28285,25562,2983,290,98,242
POST_0399,YouTube,Video,2025-04-10 12:00:00,27900,11846,546,2,148,560
POST_0400,Instagram,Static Image,2025-04-10 18:00:00,2605,32263,2801,148,328,31
